Film ,Major Studio,Rotten Tomatoes,Audience Score,Genre,Number of Theatres,Domestic Gross,Foreign Gross,Worldwide Gross,Budget,Market Profitability,Opening Weekend,Imdb Rating,Release Date,Director,Poster
City of Ember,Independent,52,48,Adventure,2022,7.87,10.06,17.93,38,47.1800%,3.13,6.5,"Oct 10, 2008",Gil Kenan,http://ia.media-imdb.com/images/M/MV5BMTU3MDE4MDU1Nl5BMl5BanBnXkFtZTcwNDM2NDI5MQ@@._V1_SX300.jpg
The Hurt Locker ,Independent,97,83,Drama,4,17.01,32.21,49.22,15,328.1300%,0.14,7.6,"Oct 10, 2008",Kathryn Bigelow,http://ia.media-imdb.com/images/M/MV5BNzEwNzQ1NjczM15BMl5BanBnXkFtZTcwNTk3MTE1Mg@@._V1_SX300.jpg
Max Payne,Fox,16,36,Action,3376,40.69,44.73,85.42,35,244.0500%,17.6,5.4,"Oct 17, 2008",John Moore,http://ia.media-imdb.com/images/M/MV5BOTc3NjE4MTE1OF5BMl5BanBnXkFtZTcwNjIyOTk3MQ@@._V1_SX300.jpg
The Secret Life of Bees,Fox,56,78,Drama,1591,37.77,2.18,39.95,11,363.1500%,10.53,7.3,"Oct 17, 2008",Gina Prince-Bythewood,http://ia.media-imdb.com/images/M/MV5BOTgzNDIzMTM2OV5BMl5BanBnXkFtZTcwMTQzNTE4MQ@@._V1_SX300.jpg
W.,Lionsgate,60,42,Drama,2030,25.53,3.97,29.51,25.1,117.5500%,10.5,6.4,"Oct 17, 2008",Oliver Stone,http://ia.media-imdb.com/images/M/MV5BMTkzMzg3NjM3OV5BMl5BanBnXkFtZTcwNTY1MzUzMw@@._V1_SX300.jpg
Sex Drive,Summit,46,61,Adventure,2421,8.4,10.35,18.76,19,98.7100%,3.61,6.6,"Oct 17, 2008",Sean Anders,http://ia.media-imdb.com/images/M/MV5BMjE0MTcyMzg5M15BMl5BanBnXkFtZTcwMDUyOTA4MQ@@._V1_SX300.jpg
High School Musical 3: Senior Year,Disney,65,76,Comedy,3623,90.56,162.35,252.91,11,"2,299.1600%",42.03,4.3,"Oct 24, 2008",Kenny Ortega,http://ia.media-imdb.com/images/M/MV5BNDE1NjU2NTMyNV5BMl5BanBnXkFtZTcwMTg3NDA3MQ@@._V1_SX300.jpg
Saw V,Independent,13,63,Crime,3030,56.75,57.12,113.86,10.8,"1,054.2900%",30.1,5.8,"Oct 24, 2008",David Hackl,http://ia.media-imdb.com/images/M/MV5BMTMwOTI1NjczOV5BMl5BanBnXkFtZTcwNDQ4MTQ5MQ@@._V1_SX300.jpg
Changeling,Independent,62,84,Drama,1850,35.74,77.28,113.02,55,205.4900%,9.4,7.8,"Oct 31, 2008",Clint Eastwood,http://ia.media-imdb.com/images/M/MV5BOTA1Mzg3NjIxNV5BMl5BanBnXkFtZTcwNzU2NTc5MQ@@._V1_SX300.jpg
Zack and Miri Make a Porno,The Weinstein Company,64,70,Romance,3735,31.46,10.65,42.1,24,175.4300%,10.07,6.7,"Oct 31, 2008",Kevin Smith,http://ia.media-imdb.com/images/M/MV5BMTMwNzM5MTIxNl5BMl5BanBnXkFtZTcwNzkwNzM5MQ@@._V1_SX300.jpg
The Haunting of Molly Hartley,Independent,3,22,Horror,2652,13.56,1.86,15.42,5,308.3400%,5.4,3.8,"Oct 31, 2008",Mickey Liddell,http://ia.media-imdb.com/images/M/MV5BMTMyMzI5Nzg2Nl5BMl5BanBnXkFtZTcwODAxNjk4MQ@@._V1_SX300.jpg
Rachel Getting Married,Independent,85,61,Drama,9,12.8,3.83,16.62,12,138.5200%,0.29,6.7,"Oct 31, 2008",Jonathan Demme,http://ia.media-imdb.com/images/M/MV5BMjA0NTY2NzQ1MF5BMl5BanBnXkFtZTcwNjU1NjAyMg@@._V1_SX300.jpg
Madagascar: Escape 2 Africa,Paramount,64,73,Animation,4056,180.01,423.89,603.9,150,402.600%,63.11,6.7,"Nov 7, 2008",Eric Darnell: Tom McGrath,http://ia.media-imdb.com/images/M/MV5BMjExMDA4NDcwMl5BMl5BanBnXkFtZTcwODAxNTQ3MQ@@._V1_SX300.jpg
Role Models,Universal,77,75,Comedy,2792,67.29,25.09,92.38,28,329.9300%,19.17,6.9,"Nov 7, 2008",David Wain,http://ia.media-imdb.com/images/M/MV5BMTg3MTk4NzQ0NV5BMl5BanBnXkFtZTcwNjM0OTc5MQ@@._V1_SX300.jpg
Soul Men,The Weinstein Company,45,42,Comedy,2044,12.08,0.25,12.33,0,,5.4,6.5,"Nov 7, 2008",Malcolm D. Lee,http://ia.media-imdb.com/images/M/MV5BMTgxNjM4NDM4OF5BMl5BanBnXkFtZTcwNDk0NTM5MQ@@._V1_SX300.jpg
Quantum of Solace,MGM,64,62,Action,3451,168.37,417.72,586.09,230,254.8200%,67.5,6.7,"Nov 14, 2008",Marc Forster,http://ia.media-imdb.com/images/M/MV5BMTY0MjI4MDI5MF5BMl5BanBnXkFtZTcwODkwNjk3MQ@@._V1_SX300.jpg
Twilight,Summit,49,82,Romance,3419,192.77,199.85,392.62,37,"1,061.1200%",69.64,5.2,"Nov 21, 2008",Catherine Hardwicke,http://ia.media-imdb.com/images/M/MV5BMTQ2NzUxMTAxN15BMl5BanBnXkFtZTcwMzEyMTIwMg@@._V1_SX300.jpg
Bolt,Disney,89,76,Animation,3651,114.05,195.93,309.98,150,206.6500%,26.2,7,"Nov 21, 2008",Byron Howard: Chris Williams,http://ia.media-imdb.com/images/M/MV5BNDQyNDE5NjQ1N15BMl5BanBnXkFtZTcwMDExMTAwMg@@._V1_SX300.jpg
Australia,Fox,55,69,Adventure,2642,49.55,161.79,211.34,78,270.9500%,14.8,6.6,"Nov 26, 2008",Baz Luhrmann,http://ia.media-imdb.com/images/M/MV5BMjAzNTk5NzczMV5BMl5BanBnXkFtZTcwNzI5NTk5MQ@@._V1_SX300.jpg
Transporter 3,Independent,36,58,Action,2626,31.72,77.26,108.98,30,363.2600%,12.06,6,"Nov 26, 2008",Olivier Megaton,http://ia.media-imdb.com/images/M/MV5BMTkxNzg1OTU4M15BMl5BanBnXkFtZTcwMjcyMjI5MQ@@._V1_SX300.jpg
Cadillac Records,Sony,67,64,Biography,687,8.2,0.68,8.88,12,73.9900%,3.4,7,"Dec 5, 2008",Darnell Martin,http://ia.media-imdb.com/images/M/MV5BOTI4NTEyMDc3Ml5BMl5BanBnXkFtZTgwMDQ4MjkyMTE@._V1_SX300.jpg
Punisher: War Zone,Lionsgate,27,47,Action,2508,8.05,2.05,10.1,35,28.8500%,4.3,6,"Dec 5, 2008",Lexi Alexander,http://ia.media-imdb.com/images/M/MV5BMTM4OTQyODk0NF5BMl5BanBnXkFtZTcwMzQwNDQwMg@@._V1_SX300.jpg
The Day the Earth Stood Still ,Fox,19,34,Thriller,3560,79.37,153.73,233.09,100,233.0900%,30.5,5.5,"Dec 12, 2008",Scott Derrickson,http://ia.media-imdb.com/images/M/MV5BNzMyNjE0MTcxNF5BMl5BanBnXkFtZTcwODcyOTMwMg@@._V1_SX300.jpg
Yes Man,Warner Bros.,43,72,Comedy,3434,97.69,125.55,223.24,70,318.9100%,18.26,6.9,"Dec 19, 2008",Peyton Reed,http://ia.media-imdb.com/images/M/MV5BNjYyOTkyMzg2OV5BMl5BanBnXkFtZTcwODAxNjk3MQ@@._V1_SX300.jpg
Seven Pounds,Sony,27,77,Drama,2758,69.95,98.22,168.17,55,305.7600%,14.9,7.7,"Dec 19, 2008",Gabriele Muccino,http://ia.media-imdb.com/images/M/MV5BMTU0NzY0MTY5OF5BMl5BanBnXkFtZTcwODY3MDEwMg@@._V1_SX300.jpg
The Tale of Despereaux,Universal,54,46,Animation,3104,50.88,36.07,86.95,55,158.0900%,10.1,6.1,"Dec 19, 2008",Sam Fell: Robert Stevenhagen,http://ia.media-imdb.com/images/M/MV5BMTg0MTc5MTc1MV5BMl5BanBnXkFtZTcwNjgwNDE4MQ@@._V1_SX300.jpg
Slumdog Millionaire,Independent,94,90,Crime,3723,141.32,236.59,377.91,15,"2,519.3900%",4.3,8,"Dec 25, 2008",Danny Boyle: Loveleen Tandan,http://ia.media-imdb.com/images/M/MV5BMTU2NTA5NzI0N15BMl5BanBnXkFtZTcwMjUxMjYxMg@@._V1_SX300.jpg
Bedtime Stories,Disney,25,63,Comedy,3681,110.1,102.77,212.87,80,266.0900%,27.5,6.1,"Dec 25, 2008",Adam Shankman,http://ia.media-imdb.com/images/M/MV5BMjA5Njk5MTUxNF5BMl5BanBnXkFtZTcwMDI3MTg5MQ@@._V1_SX300.jpg
Marley and Me,Fox,63,77,Comedy,3480,143.15,99.56,242.72,55,441.300%,36.36,7.1,"Dec 25, 2008",David Frankel,NoData
Valkyrie,MGM,58,66,Thriller,2711,83.08,117.2,200.28,75,267.0300%,21.03,7.1,"Dec 25, 2008",Bryan Singer,http://ia.media-imdb.com/images/M/MV5BMTg3Njc2ODEyN15BMl5BanBnXkFtZTcwNTAwMzc3NA@@._V1_SX300.jpg
The Curious Case of Benjamin Button,Warner Bros.,73,81,Fantasy,2988,127.51,206.42,333.93,160,208.7100%,26.85,7.8,"Dec 25, 2008",David Fincher,http://ia.media-imdb.com/images/M/MV5BNjQ0NTY2ODY2M15BMl5BanBnXkFtZTgwMjE4MzkxMDE@._V1_SX300.jpg
Doubt,Independent,78,75,Drama,1267,33.45,17.46,50.91,25,203.6200%,5.3,7.5,"Dec 25, 2008",John Patrick Shanley,http://ia.media-imdb.com/images/M/MV5BMTY4NDk0NzE4Nl5BMl5BanBnXkFtZTcwMjk1NDE4MQ@@._V1_SX300.jpg
The Spirit,Lionsgate,14,29,Action,2509,19.81,19.23,39.03,6,650.5200%,6.5,4.8,"Dec 25, 2008",Frank Miller,http://ia.media-imdb.com/images/M/MV5BNDcyMTc1NzgwNF5BMl5BanBnXkFtZTcwNzUyMDUwMg@@._V1_SX300.jpg
Bride Wars ,Fox,11,56,Comedy,3226,58.75,55.95,115.15,30,383.8300%,21.1,5.4,"Jan 9, 2009",Gary Winick,http://ia.media-imdb.com/images/M/MV5BMTA2MjU3NjQ3NzReQTJeQWpwZ15BbWU3MDEyNzE4OTE@._V1_SX300.jpg
The Unborn,Relativity Media,11,39,Horror,2357,42.67,33.84,76.51,16,478.1900%,19.8,4.8,"Jan 9, 2009",David S. Goyer,http://ia.media-imdb.com/images/M/MV5BOTM5NDY1MTk2Nl5BMl5BanBnXkFtZTcwNTMyNjkxMg@@._V1_SX300.jpg
Not Easily Broken ,Independent,34,66,Drama,724,10.6,0.14,10.7,5,214.00%,5.3,6,"Jan 9, 2009",Bill Duke,http://ia.media-imdb.com/images/M/MV5BMTM3MDEzMTgyNV5BMl5BanBnXkFtZTcwNzUxOTQxMg@@._V1_SX300.jpg
Paul Blart: Mall Cop ,Sony,33,50,Action,3144,146.33,36.95,183.28,26,704.9200%,31.8,5.2,"Jan 16, 2009",Steve Carr,http://ia.media-imdb.com/images/M/MV5BMTM2NzA1MzE1NF5BMl5BanBnXkFtZTcwOTYyNDIzMg@@._V1_SX300.jpg
Hotel for Dogs ,Paramount,46,57,Comedy,3271,73,43.97,118.2,35,337.7100%,17,5.3,"Jan 16, 2009",Thor Freudenthal,http://ia.media-imdb.com/images/M/MV5BMTI5NjkxOTE5MF5BMl5BanBnXkFtZTcwMTcxNTAwMg@@._V1_SX300.jpg
My Bloody Valentine 3-D ,Lionsgate,57,48,Crime,2534,51.54,49.19,100.73,14,719.4900%,21.2,5.5,"Jan 16, 2009",Patrick Lussier,NoData
Notorious,Fox,50,66,Biography,1638,36.84,7.52,44.36,20,221.800%,20.5,6.6,"Jan 16, 2009",George Tillman Jr.,http://ia.media-imdb.com/images/M/MV5BMTY3NTAwMjk5OV5BMl5BanBnXkFtZTgwNDU5OTQzMTE@._V1_SX300.jpg
Underworld: Rise of the Lycans ,Sony,30,68,Action,2942,45.8,45.55,91.35,35,261.00%,20.8,6.6,"Jan 23, 2009",Patrick Tatopoulos,http://ia.media-imdb.com/images/M/MV5BMTg1OTU5ODc0MV5BMl5BanBnXkFtZTcwNDYyMDUwMg@@._V1_SX300.jpg
Inkheart ,Warner Bros.,39,51,Adventure,2655,17.3,45.14,62.44,60,104.0700%,7.6,6.1,"Jan 23, 2009",Iain Softley,http://ia.media-imdb.com/images/M/MV5BMTg5NTc2MDEwN15BMl5BanBnXkFtZTcwMTA5ODQ5MQ@@._V1_SX300.jpg
Milk,Universal,94,88,Biography,36,31.84,22.75,54.59,20,272.9300%,1.5,7.6,"Jan 30, 2009",Gus Van Sant,http://ia.media-imdb.com/images/M/MV5BMTI2OTM5NjUzMV5BMl5BanBnXkFtZTcwMzY1MTM5MQ@@._V1_SX300.jpg
Taken ,Fox,58,83,Action,3183,145,81.8,226.8,25,907.200%,24.7,7.9,"Jan 30, 2009",Pierre Morel,http://ia.media-imdb.com/images/M/MV5BMTM4NzQ0OTYyOF5BMl5BanBnXkFtZTcwMDkyNjQyMg@@._V1_SX300.jpg
The Uninvited ,Paramount,31,52,Drama,2344,28.6,13.03,42.7,,,10.3,6.4,"Jan 30, 2009",Charles Guard: Thomas Guard,http://ia.media-imdb.com/images/M/MV5BOTY0OTc3OTkyNV5BMl5BanBnXkFtZTcwMTg4Nzc5MQ@@._V1_SX300.jpg
Friday the 13th,Paramount,25,52,Horror,3105,65,26.4,91.4,19,481.0500%,40.6,5.6,"Feb 3, 2009",Marcus Nispel,http://ia.media-imdb.com/images/M/MV5BOTYzNDkwNTA1NF5BMl5BanBnXkFtZTcwMjIyNDAyMQ@@._V1_SX300.jpg
He's Just Not That Into You ,Warner Bros.,42,60,Comedy,3175,93.95,84.89,178.84,25,715.3600%,27.8,6.4,"Feb 6, 2009",Ken Kwapis,http://ia.media-imdb.com/images/M/MV5BMTY5MTUyNDgwMF5BMl5BanBnXkFtZTcwNzYzMDQyMg@@._V1_SX300.jpg
Coraline ,Universal,89,77,Animation,2299,75.28,49.3,124.58,60,207.6300%,16.8,7.7,"Feb 6, 2009",Henry Selick,http://ia.media-imdb.com/images/M/MV5BMzQxNjM5NzkxNV5BMl5BanBnXkFtZTcwMzg5NDMwMg@@._V1_SX300.jpg
The Pink Panther 2 ,Sony,12,47,Adventure,3243,35.92,40.02,75.94,59,128.7100%,11.6,5.5,"Feb 6, 2009",Harald Zwart,http://ia.media-imdb.com/images/M/MV5BMTIyOTI2ODY2MF5BMl5BanBnXkFtZTcwMzU2MTYxMg@@._V1_SX300.jpg
Push ,Summit,22,47,Action,2313,31.81,17.04,48.85,38,128.5500%,10.1,6.1,"Feb 6, 2009",Paul McGuigan,http://ia.media-imdb.com/images/M/MV5BMTM2NjE5NTYzMl5BMl5BanBnXkFtZTcwNzc3OTMyMg@@._V1_SX300.jpg
Confessions of a Shopaholic ,Disney,24,53,Comedy,2507,44.27,64.05,108.3,70,155.00%,15,5.8,"Feb 13, 2009",P.J. Hogan,http://ia.media-imdb.com/images/M/MV5BMTQ1MzcyMTkwOF5BMl5BanBnXkFtZTcwMDM3MTc5MQ@@._V1_SX300.jpg
The International ,Sony,58,39,Action,2364,25.4,34.7,60.1,50,120.200%,9.3,6.5,"Feb 13, 2009",Tom Tykwer,http://ia.media-imdb.com/images/M/MV5BMjE3Njg5NzY2OV5BMl5BanBnXkFtZTcwMDMxNjEwMg@@._V1_SX300.jpg
Fired Up! ,Independent,22,52,Comedy,1810,17.2,1.37,18.6,20,93.00%,5.5,6.2,"Feb 20, 2009",Will Gluck,http://ia.media-imdb.com/images/M/MV5BMjE3MDMxMTQ0M15BMl5BanBnXkFtZTcwNTA0MDAyMg@@._V1_SX300.jpg
Street Fighter: The Legend of Chun-Li ,Fox,16,28,Action,1136,8.74,4.02,12.34,50,24.6800%,4.7,3.7,"Feb 27, 2009",Andrzej Bartkowiak,http://ia.media-imdb.com/images/M/MV5BMTQ2Mzc1MDc5MV5BMl5BanBnXkFtZTcwMDk1NTIzMg@@._V1_SX300.jpg
Watchmen ,Warner Bros.,64,68,Action,3611,107.5,77.7,185.3,130,142.5400%,55.2,7.6,"Mar 6, 2009",Zack Snyder,http://ia.media-imdb.com/images/M/MV5BMTc0NjI2OTYxMF5BMl5BanBnXkFtZTcwMTcxMjkyMg@@._V1_SX300.jpg
Race to Witch Mountain ,Buena Vista,42,50,Action,3187,67.17,39.21,106.38,50,212.7600%,24.4,5.7,"Mar 13, 2009",Andy Fickman,http://ia.media-imdb.com/images/M/MV5BMzQ5MTM5NTU2NV5BMl5BanBnXkFtZTcwMDAzMjAyMg@@._V1_SX300.jpg
Knowing ,Summit,33,50,Drama,3332,79.95,103.63,183.58,50,367.1600%,24.6,6.2,"Mar 20, 2009",Alex Proyas,http://ia.media-imdb.com/images/M/MV5BMTMyMjgyMDIyM15BMl5BanBnXkFtZTcwNjg3MjAyMg@@._V1_SX300.jpg
I Love You: Man ,Paramount,83,72,Comedy,2711,71.4,20.2,91.4,40,228.500%,17.8,7.1,"Mar 20, 2009",John Hamburg,http://ia.media-imdb.com/images/M/MV5BMTU4MjI5NTEyNV5BMl5BanBnXkFtZTcwNjQ1NTMzMg@@._V1_SX300.jpg
Duplicity ,Universal,64,38,Romance,2574,40.57,37.57,78.14,60,130.2300%,14,6.2,"Mar 20, 2009",Tony Gilroy,http://ia.media-imdb.com/images/M/MV5BMjE2MTg2MzU2NF5BMl5BanBnXkFtZTcwMTMyNjkxMg@@._V1_SX300.jpg
The Haunting in Connecticut ,Lionsgate,17,51,Drama,2732,55.39,22.13,77.52,30,258.400%,23,5.9,"Mar 27, 2009",Peter Cornwell,http://ia.media-imdb.com/images/M/MV5BMjE0NDU1NzY0OV5BMl5BanBnXkFtZTcwOTY4NTczMg@@._V1_SX300.jpg
12 Rounds ,Fox,30,52,Action,2331,12.23,5.05,17.28,20,86.3800%,5.3,5.6,"Mar 27, 2009",Renny Harlin,http://ia.media-imdb.com/images/M/MV5BMTU1MzM1ODkxM15BMl5BanBnXkFtZTcwNDY1MTA0Mg@@._V1_SX300.jpg
Fast and Furious ,Universal,28,76,Action,3461,155.1,208,363.1,85,427.1800%,70.9,6.6,"Apr 3, 2009",Justin Lin,http://ia.media-imdb.com/images/M/MV5BMjAyNTQ1NjA3Ml5BMl5BanBnXkFtZTgwOTIyNjIxMzE@._V1_SX300.jpg
Adventureland ,Miramax,89,56,Comedy,1862,16.04,1.12,17.16,9.8,175.100%,5.7,6.8,"Apr 3, 2009",Greg Mottola,http://ia.media-imdb.com/images/M/MV5BMTI1NTYyMjA2N15BMl5BanBnXkFtZTcwNjU1OTA0Mg@@._V1_SX300.jpg
Dragonball Evolution ,Fox,15,28,Action,2181,9.36,48.13,58.23,30,194.100%,4.8,4.3,"Apr 8, 2009",James Wong,http://ia.media-imdb.com/images/M/MV5BOTAyNTUxODgwNl5BMl5BanBnXkFtZTcwNDU3MDY0Mg@@._V1_SX300.jpg
Hannah Montana: The Movie ,Disney,44,66,Comedy,3118,79.58,75.97,155.55,35,444.4300%,32.3,4.1,"Apr 10, 2009",Peter Chelsom,http://ia.media-imdb.com/images/M/MV5BMTkxNjUxODY3NF5BMl5BanBnXkFtZTcwMjQyMzMzMg@@._V1_SX300.jpg
Observe and Report ,Warner Bros.,51,40,Comedy,2727,24,2.96,26.96,18,149.7800%,11,5.8,"Apr 10, 2009",Jody Hill,http://ia.media-imdb.com/images/M/MV5BMjA2MzMzODExOF5BMl5BanBnXkFtZTcwMjkzNzA0Mg@@._V1_SX300.jpg
17 Again ,Independent,55,70,Comedy,3255,64.2,72.1,136.3,20,681.500%,23.7,6.4,"Apr 17, 2009",Burr Steers,http://ia.media-imdb.com/images/M/MV5BMjA2NTI1Mzg3N15BMl5BanBnXkFtZTcwMjYwNjAzMg@@._V1_SX300.jpg
State of Play ,Universal,84,71,Crime,2803,37.02,50.79,88.3,60,147.00%,14.1,7.1,"Apr 17, 2009",Kevin Macdonald,http://ia.media-imdb.com/images/M/MV5BMTI1MTQ4MDIwMl5BMl5BanBnXkFtZTcwNzgxOTc0Mg@@._V1_SX300.jpg
Crank: High Voltage ,Lionsgate,62,54,Action,2223,13.7,20.8,34.5,12.9,267.4400%,7,6.2,"Apr 17, 2009",Mark Neveldine: Brian Taylor,http://ia.media-imdb.com/images/M/MV5BMTQzNTU1ODkxNl5BMl5BanBnXkFtZTcwMDgyODEzMg@@._V1_SX300.jpg
Sunshine Cleaning ,Independent,72,59,Comedy,642,12.06,4.51,16.57,5,331.400%,0.9,6.9,"Apr 17, 2009",Christine Jeffs,http://ia.media-imdb.com/images/M/MV5BMTU4MzUzMTg4M15BMl5BanBnXkFtZTcwNDY2MjUyMg@@._V1_SX300.jpg
Obsessed ,Sony,20,50,Drama,2514,68.26,5.56,73.82,20,369.100%,28.6,4.9,"Apr 24, 2009",Steve Shill,http://ia.media-imdb.com/images/M/MV5BMjAwOTM2MzE5MF5BMl5BanBnXkFtZTcwMjM0NTcyMg@@._V1_SX300.jpg
The Soloist ,Paramount,56,59,Drama,2024,31.7,6.61,38.31,60,63.8500%,9.7,6.7,"Apr 24, 2009",Joe Wright,http://ia.media-imdb.com/images/M/MV5BMjExODQ3MTI5Nl5BMl5BanBnXkFtZTcwMDEyMTQ5MQ@@._V1_SX300.jpg
X-Men Origins: Wolverine ,Fox,37,72,Action,4099,179.9,193.2,373.1,150,248.7300%,85.1,6.7,"May 1, 2009",Gavin Hood,http://ia.media-imdb.com/images/M/MV5BMTI2MTgyNjExM15BMl5BanBnXkFtZTcwNzU4MjkyMg@@._V1_SX300.jpg
Ghosts of Girlfriends Past ,Warner Bros.,27,47,Comedy,3175,55.25,46.97,102.22,50,204.4400%,15.4,5.7,"May 1, 2009",Mark Waters,http://ia.media-imdb.com/images/M/MV5BMTA0Njk2NTIyMTVeQTJeQWpwZ15BbWU3MDU0MzUyMzI@._V1_SX300.jpg
Star Trek ,Paramount,94,91,Action,3849,257.7,127.95,385.65,140,275.4600%,75.2,8,"May 8, 2009",J.J. Abrams,http://ia.media-imdb.com/images/M/MV5BMjE5NDQ5OTE4Ml5BMl5BanBnXkFtZTcwOTE3NDIzMw@@._V1_SX300.jpg
Next Day Air ,Summit,21,27,Action,1138,10,0.15,10,3,333.3300%,4.1,5.9,"May 8, 2009",Benny Boom,http://ia.media-imdb.com/images/M/MV5BMTA3MzE4Mjg0MDZeQTJeQWpwZ15BbWU3MDYzNDMzNDI@._V1_SX300.jpg
Angels & Demons ,Sony,36,65,Mystery,3527,133.4,352.6,485.9,150,323.9300%,46.2,6.7,"May 15, 2009",Ron Howard,http://ia.media-imdb.com/images/M/MV5BMjEzNzM2MjgxMF5BMl5BanBnXkFtZTcwNTQ1MTM0Mg@@._V1_SX300.jpg
Terminator Salvation ,Warner Bros.,33,64,Action,3530,125.3,246.7,372,200,186.00%,42.6,6.7,"May 21, 2009",McG,http://ia.media-imdb.com/images/M/MV5BODE1MTM1MzA2NF5BMl5BanBnXkFtZTcwODQ5MTA2Mg@@._V1_SX300.jpg
Night at the Museum: Battle of the Smithsonian ,Fox,43,60,Action,4096,177.2,235.8,413,150,275.3300%,54.2,5.9,"May 22, 2009",Shawn Levy,http://ia.media-imdb.com/images/M/MV5BMjAzMzc0MzM3MF5BMl5BanBnXkFtZTcwNjUzODkyMg@@._V1_SX300.jpg
Dance Flick ,Paramount,17,35,Action,2450,25.66,5.77,31.43,25,125.7200%,10.6,3.5,"May 22, 2009",Damien Dante Wayans,http://ia.media-imdb.com/images/M/MV5BMTM0OTQzMDMyOV5BMl5BanBnXkFtZTcwODk3MzQwMg@@._V1_SX300.jpg
Up ,Disney,98,86,Animation,3766,293,438.3,731.3,175,417.8900%,68.1,8.3,"May 29, 2009",Pete Docter: Bob Peterson,http://ia.media-imdb.com/images/M/MV5BMTk3NDE2NzI4NF5BMl5BanBnXkFtZTgwNzE1MzEyMTE@._V1_SX300.jpg
Drag Me to Hell ,Universal,92,61,Horror,2508,42.1,48.7,90.8,30,302.6700%,15.8,6.6,"May 29, 2009",Sam Raimi,http://ia.media-imdb.com/images/M/MV5BMTYzOTc2NDIwMF5BMl5BanBnXkFtZTcwNzAxMTM2Mg@@._V1_SX300.jpg
The Hangover ,Warner Bros.,79,87,Comedy,3269,277.3,190.16,467.46,35,"1,335.600%",45,7.8,"Jun 5, 2009",Todd Phillips,http://ia.media-imdb.com/images/M/MV5BMTU1MDA1MTYwMF5BMl5BanBnXkFtZTcwMDcxMzA1Mg@@._V1_SX300.jpg
Land of the Lost ,Universal,26,38,Drama,3521,49.43,19.34,68.77,100,68.7700%,18.8,5.3,"Jun 5, 2009",Brad Silberling,http://ia.media-imdb.com/images/M/MV5BOTkzNDg2OTc1NF5BMl5BanBnXkFtZTcwNDcxODE2Mg@@._V1_SX300.jpg
My Life in Ruins ,Independent,9,43,Comedy,1164,8.67,11.79,18.01,17,106.00%,3.2,5.9,"Jun 5, 2009",Donald Petrie,http://ia.media-imdb.com/images/M/MV5BOTE3MzQ2NzczNl5BMl5BanBnXkFtZTcwMjgyNDgzMg@@._V1_SX300.jpg
The Taking of Pelham 1 2 3 ,Sony,51,60,Action,3074,65.45,84.71,150.16,100,150.1600%,23.37,6.4,"Jun 12, 2009",Tony Scott,http://ia.media-imdb.com/images/M/MV5BMTU3NzA4MDcwNV5BMl5BanBnXkFtZTcwMDAyNzc1Mg@@._V1_SX300.jpg
Imagine That ,Paramount,38,44,Comedy,3008,16.12,6.86,22.99,55,41.800%,5.5,5.6,"Jun 12, 2009",Karey Kirkpatrick,http://ia.media-imdb.com/images/M/MV5BMjIwMjgwMjg4M15BMl5BanBnXkFtZTcwNTU2ODkzMg@@._V1_SX300.jpg
The Proposal ,Disney,43,74,Comedy,3056,163.96,153.42,314.7,40,786.7500%,33.6,6.7,"Jun 19, 2009",Anne Fletcher,http://ia.media-imdb.com/images/M/MV5BMTU1MzY1ODIyNV5BMl5BanBnXkFtZTcwNDU4NTE3Mg@@._V1_SX300.jpg
Year One ,Sony,14,31,Adventure,3022,43.33,19.02,62.35,60,103.9200%,19.6,4.9,"Jun 19, 2009",Harold Ramis,http://ia.media-imdb.com/images/M/MV5BMTcyMjI2OTgxN15BMl5BanBnXkFtZTcwODU3ODkzMg@@._V1_SX300.jpg
Transformers: Revenge of the Fallen ,Paramount,20,76,Action,4234,402.1,434.2,836.3,210,398.2400%,109,6,"Jun 24, 2009",Michael Bay,http://ia.media-imdb.com/images/M/MV5BNjk4OTczOTk0NF5BMl5BanBnXkFtZTcwNjQ0NzMzMw@@._V1_SX300.jpg
My Sister's Keeper ,Warner Bros.,47,73,Drama,2606,49.2,46.51,95.71,27.5,348.0500%,12.4,7.4,"Jun 26, 2009",Nick Cassavetes,http://ia.media-imdb.com/images/M/MV5BMTQ2NDg4MDU3NF5BMl5BanBnXkFtZTcwMjg5Njc1Mg@@._V1_SX300.jpg
Away We Go ,Focus,67,74,Comedy,4,9.45,5.44,14.89,21,70.900%,0.13,7.1,"Jun 26, 2009",Sam Mendes,http://ia.media-imdb.com/images/M/MV5BMTYxNzE3NjAwMl5BMl5BanBnXkFtZTcwODkxOTI0Mg@@._V1_SX300.jpg
Ice Age: Dawn of the Dinosaurs ,Fox,45,72,Animation,4099,196.57,690.11,886.68,90,985.200%,41.7,7,"Jul 1, 2009",Carlos Saldanha: Mike Thurmeier,http://ia.media-imdb.com/images/M/MV5BMjA4NDI0Mjg4NV5BMl5BanBnXkFtZTcwOTM1NTY0Mg@@._V1_SX300.jpg
Public Enemies ,Universal,67,65,Biography,3334,97.1,117,214.1,100,214.100%,25.2,7,"Jul 1, 2009",Michael Mann,http://ia.media-imdb.com/images/M/MV5BMjA3NDI0NzM2MV5BMl5BanBnXkFtZTcwODk5MTk2Mg@@._V1_SX300.jpg
